text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword
rất đáng để mua,rất đáng để mua,5,tích cực,rất đáng để mua,rất đáng để mua
quá là ok,quá là ok,5,tích cực,quá là ok,quá là ok
mượt môi dưỡng ẩm tốt,mượt môi_dưỡng ẩm tốt,5,tích cực,mượt môi_dưỡng ẩm tốt,mượt mô@@ i_dưỡng ẩm tốt
Son trắng cod lên hồng hồng khi thoa màu đẹp thơm nhẹ nhàn,son trắng cod lên hồng_hồng khi thoa màu đẹp thơm nhẹ nhàn,5,tích cực,son trắng cod lên hồng_hồng khi thoa màu đẹp thơm nhẹ nhàn,son trắng co@@ d lên hồng_@@ hồng khi thoa màu đẹp thơm nhẹ nhàn
"màu ok, các bạn đánh ít thôi kẻo một lát sẽ hồng hú hồn. Dưỡng bình thường, k tốt lắm, nhưng săn sale 10k, hài lòng.","màu ok , các bạn đánh ít thôi_kẻo một lát sẽ hồng hú_hồn . dưỡng bình_thường , không tốt lắm , nhưng săn sale 10 k , hài_lòng .",5,trung lập,"màu ok , các bạn đánh ít thôi_kẻo một lát sẽ hồng_hú_hồn . dưỡng_bình_thường , không tốt lắm , nhưng săn sale 10 k , hài_lòng .","màu ok , các bạn đánh ít thôi_@@ kẻo một lát sẽ hồng hú@@ _hồn . dưỡng bình_thường , không tốt lắm , nhưng săn sale 10 k , hài_lòng ."
tốt,tốt,4,tích cực,tốt,tốt
"Đơn hàng bị giao thiếu 1sp...mùa dịch, shop cẩn thận","đơn hàng bị giao thiếu 1 sp . mùa dịch , shop cẩn_thận",1,tiêu cực,"đơn hàng bị giao thiếu 1 sp . mùa dịch , shop cẩn_thận","đơn hàng bị giao thiếu 1 sp . mùa dịch , shop cẩn_thận"
Tạm được son hơi dính vào vỏ,tạm được son_hơi dính vào vỏ,3,trung lập,tạm được son_hơi dính vào vỏ,tạm được son_@@ hơi dính vào vỏ
sản phẩm tốt,sản_phẩm tốt,5,tích cực,sản_phẩm tốt,sản_phẩm tốt
giao hàng nhanh,giao hàng nhanh,4,tích cực,giao hàng nhanh,giao hàng nhanh
màu tự nhiên,màu tự_nhiên,4,tích cực,màu tự_nhiên,màu tự_nhiên
chất lượng,chất_lượng lượng,5,tích cực,chất_lượng lượng,chất_lượng lượng
Ok lắm ạ,ok lắm ạ,5,tích cực,ok lắm ạ,ok lắm ạ
SP tốt. YouTube đã mua?,sp tốt . youtube đã mua ?,5,tích cực,sp tốt . youtube đã mua ?,sp tốt . youtube đã mua ?
Xài okie hàng tốt,dùng okie hàng tốt,5,tích cực,dùng okie hàng tốt,dùng o@@ kie hàng tốt
"Giao hàng nhanh, đóng gói kĩ, mong xài lâu dài sẽ ổn","giao hàng nhanh , đóng_gói kĩ , mong dùng lâu_dài sẽ ổn",5,tích cực,"giao hàng nhanh , đóng_gói_kĩ , mong dùng lâu_dài sẽ ổn","giao hàng nhanh , đóng_gói kĩ , mong dùng lâu_dài sẽ ổn"
"Giao hàng nhanh, mong xài lâu dài sẽ ổn","giao hàng nhanh , mong dùng lâu_dài sẽ ổn",5,tích cực,"giao hàng nhanh , mong dùng lâu_dài sẽ ổn","giao hàng nhanh , mong dùng lâu_dài sẽ ổn"
Giá mềm,giá mềm,5,tích cực,giá mềm,giá mềm
Chất lượng tốt,chất_lượng lượng tốt,5,tích cực,chất_lượng lượng tốt,chất_lượng lượng tốt
Màu tự nhiên đẹp. Giá quá rẻ nên không biết dùng lâu có làm thân môi không.,màu tự_nhiên đẹp . giá quá rẻ nên không biết dùng lâu có làm thân môi không .,5,tích cực,màu tự_nhiên đẹp . giá quá rẻ nên không biết dùng lâu có làm thân môi không .,màu tự_nhiên đẹp . giá quá rẻ nên không biết dùng lâu có làm thân môi không .
"Phần vặn chưa được tốt lắm, son không di chuyển theo điều chỉnh.","phần vặn chưa được tốt lắm , son không di_chuyển theo điều_chỉnh .",4,tích cực,"phần vặn chưa được tốt lắm , son không di_chuyển theo điều_chỉnh .","phần vặn chưa được tốt lắm , son không di_chuyển theo điều_chỉnh ."
Sản phẩm tốt,sản_phẩm tốt,5,tích cực,sản_phẩm tốt,sản_phẩm tốt
dưỡng tốt và lại lâu trôi màu,dưỡng tốt và lại lâu trôi màu,5,tích cực,dưỡng tốt và lại lâu trôi màu,dưỡng tốt và lại lâu trôi màu
"Giao hàng cực nhanh, sản phẩm chất lượng","giao hàng cực nhanh , sản_phẩm chất_lượng lượng",5,tích cực,"giao hàng cực nhanh , sản_phẩm chất_lượng lượng","giao hàng cực nhanh , sản_phẩm chất_lượng lượng"
Tiki giao hàng tốt và đúng hạn Hàng tặng nên mình không biết chất lượng ra sao,tiki giao hàng tốt và đúng hạn hàng tặng nên mình không biết chất_lượng lượng ra sao,5,tích cực,tiki giao hàng tốt và đúng hạn hàng tặng nên mình không biết chất_lượng_lượng ra sao,ti@@ ki giao hàng tốt và đúng hạn hàng tặng nên mình không biết chất_lượng lượng ra sao
"cũng ok lắm sd mấy lần thôi, môi đã cải thiện rõ rệt vs lại tiki giao hàng nhanh lắm","cũng ok lắm sd mấy lần thôi , môi đã cải_thiện rõ_rệt với_lại tiki giao hàng nhanh lắm",4,tích cực,"cũng ok lắm sd mấy lần thôi , môi đã cải_thiện rõ_rệt với_lại tiki giao hàng nhanh lắm","cũng ok lắm s@@ d mấy lần thôi , môi đã cải_thiện rõ_rệt với_lại ti@@ ki giao hàng nhanh lắm"
Mình màu cam mà son ra màu hồng rất đậm,mình màu cam mà son ra màu hồng rất đậm,4,tích cực,mình màu cam mà son ra màu hồng rất đậm,mình màu cam mà son ra màu hồng rất đậm
"Đầu tiên về phần vỏ rất chắc chắn k thể trừ điểm được. Nhưng điều mình quan tâm nhất về chất lượng thì em này làm mình không hài lòng. Mùi rất kì, mình ngửi như mùi đất sét. Bôi nhiều lớp lên sẽ ra màu hồng cánh sen rất dìm(nếu không tẩy da chết). Chất son giống son gió nhưng chậm hơn.để tầm 1-2h môi bắt đầu hồng choét lên trông rất sợ. Hình ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên( trông không quá đáng sợ nhưng 1 tgian sau lên màu k đc đẹp) nếu như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ k kiểm soát đc màu son. Son này rất lì luôn ấy. Trời càng lạnh nó lên màu càng nhanh. màu mình mua là cam san hô. Hi vọng nếu như cải thiện màu son này nhà sx sẽ cho thêm nhiều đỏ hơn là hồng","đầu_tiên về phần vỏ rất chắc_chắn không_thể trừ_điểm được . nhưng điều mình quan_tâm nhất về chất_lượng lượng thì em này làm mình không hài_lòng . mùi rất kì , mình ngửi như mùi đất_sét . bôi nhiều lớp lên sẽ ra màu hồng cánh_sen rất dìm nếu không tẩy da chết . chất_lượng son_giống son_gió nhưng chậm hơn . để tầm 1 2 h môi bắt_đầu hồng_choét lên trông rất sợ . hình_ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên trông không quá đáng sợ nhưng 1 thời_gian sau lên màu không được đẹp nếu_như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ không kiểm_soát được màu son . son này rất lì luôn ấy . trời càng lạnh nó lên màu càng nhanh . màu mình mua là cam san_hô . hi_vọng nếu_như cải_thiện màu son này nhà sx sẽ cho thêm nhiều đỏ hơn là hồng",2,tích cực,"đầu_tiên về phần vỏ rất chắc_chắn không_thể trừ_điểm được . nhưng điều mình quan_tâm nhất về chất_lượng_lượng thì em này làm mình không hài_lòng . mùi rất kì , mình ngửi như mùi đất_sét . bôi nhiều lớp lên sẽ ra màu hồng_cánh_sen rất dìm nếu không tẩy da chết . chất_lượng son_giống_son_gió nhưng chậm hơn . để tầm 1 2 h môi bắt_đầu hồng_choét lên trông rất sợ . hình_ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên trông không quá đáng sợ nhưng 1 thời_gian sau lên màu không được đẹp nếu_như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ không kiểm_soát được màu son . son này rất lì luôn ấy . trời càng lạnh nó lên màu càng nhanh . màu mình mua là cam_san_hô . hi_vọng nếu_như cải_thiện màu son này nhà sx sẽ cho thêm nhiều đỏ hơn là hồng","đầu_tiên về phần vỏ rất chắc_chắn không_thể trừ@@ _điểm được . nhưng điều mình quan_tâm nhất về chất_lượng lượng thì em này làm mình không hài_lòng . mùi rất kì , mình ngửi như mùi đất_sét . bôi nhiều lớp lên sẽ ra màu hồng cánh_sen rất dìm nếu không tẩy da chết . chất_lượng son_@@ giống son_@@ gió nhưng chậm hơn . để tầm 1 2 h môi bắt_đầu hồng_@@ cho@@ ét lên trông rất sợ . hình_ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên trông không quá đáng sợ nhưng 1 thời_gian sau lên màu không được đẹp nếu_như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ không kiểm_soát được màu son . son này rất lì luôn ấy . trời càng lạnh nó lên màu càng nhanh . màu mình mua là cam san_hô . hi_vọng nếu_như cải_thiện màu son này nhà s@@ x sẽ cho thêm nhiều đỏ hơn là hồng"
"Son mềm mịn lên màu hồng tự nhiên, nên mua nha mng","son_mềm mịn lên màu hồng tự_nhiên , nên mua nha mọi người",5,tích cực,"son_mềm mịn lên màu hồng_tự_nhiên , nên mua nha mọi người","son_@@ mềm mịn lên màu hồng tự_nhiên , nên mua nha mọi người"
"hồng tự nhiên, chất lượng ổn so với mức giá","hồng tự_nhiên , chất_lượng lượng ổn so với mức giá",4,tích cực,"hồng tự_nhiên , chất_lượng_lượng ổn so với mức giá","hồng tự_nhiên , chất_lượng lượng ổn so với mức giá"
Hàng y hình nhé mn! Màu hôi tự nhiên hơi ửng hồng!,hàng y_hình nhé mọi người ! màu hôi tự_nhiên hơi ửng hồng !,5,tích cực,hàng y_hình nhé mọi người ! màu hôi tự_nhiên_hơi ửng hồng !,hàng y_@@ hình nhé mọi người ! màu hôi tự_nhiên hơi ửng hồng !
"Mua một cây xài thử mà ưng lắm luôn. Son màu nhẹ nhàng mà lâu trôi lắm. Ăn uống các thứ mà vẫn còn hồng nhè nhẹ. Son này đi chơi thì không đủ nổi bật nhưng rất hợp để xài ở nhà, hồng nhẹ tươi tắn xinh lắm luôn. Và hôm nay lại lên đặt thêm cho 2 bà chị hihi","mua một cây dùng thử mà ưng lắm luôn . son_màu nhẹ_nhàng mà lâu trôi lắm . ăn_uống các thứ mà vẫn còn hồng_nhè nhẹ . son này đi chơi thì không đủ nổi_bật nhưng rất hợp để dùng ở nhà , hồng_nhẹ tươi_tắn xinh lắm luôn . và hôm_nay lại lên đặt thêm cho 2 bà chị hihi",5,tích cực,"mua một cây dùng thử mà ưng lắm luôn . son_màu nhẹ_nhàng mà lâu trôi lắm . ăn_uống các thứ mà vẫn còn hồng_nhè nhẹ . son này đi chơi thì không đủ nổi_bật nhưng rất hợp để dùng ở nhà , hồng_nhẹ tươi_tắn xinh lắm luôn . và hôm_nay lại lên đặt thêm cho 2 bà chị hihi","mua một cây dùng thử mà ưng lắm luôn . son_@@ màu nhẹ_nhàng mà lâu trôi lắm . ăn_uống các thứ mà vẫn còn hồng_@@ nhè nhẹ . son này đi chơi thì không đủ nổi_bật nhưng rất hợp để dùng ở nhà , hồng_@@ nhẹ tươi_tắn xinh lắm luôn . và hôm_nay lại lên đặt thêm cho 2 bà chị hi@@ hi"
"Mẹ mình 60t rồi, chỉ thích dùng son này xưa giờ nên đặt lúc 2 cây tặng mẹ luôn!","mẹ mình 60 t rồi , chỉ thích dùng son này xưa giờ nên đặt lúc 2 cây tặng mẹ luôn !",5,tích cực,"mẹ mình 60 t rồi , chỉ thích dùng son này xưa giờ nên đặt lúc 2 cây tặng mẹ luôn !","mẹ mình 60 t rồi , chỉ thích dùng son này xưa giờ nên đặt lúc 2 cây tặng mẹ luôn !"
hài lòng,hài_lòng,5,tích cực,hài_lòng,hài_lòng
sản phẩm ok ?,sản_phẩm ok ?,5,tích cực,sản_phẩm ok ?,sản_phẩm ok ?
good,good,5,tích cực,good,good
"Tuyệt vời ông mặt trời, giao hàng nhanh nữa","tuyệt_vời ông mặt_trời , giao hàng nhanh nữa",5,tích cực,"tuyệt_vời ông mặt_trời , giao hàng nhanh nữa","tuyệt_vời ông mặt_trời , giao hàng nhanh nữa"
môi mình cực kì khô toàn bong mình sử dụng son tiki mà môi trở nê mềm mại hơn k bị khô và bong nữa mình rất hài lòng ???,môi mình cực_kì khô toàn bong mình sử_dụng son_tiki mà môi trở_nê mềm_mại hơn không bị khô và bong nữa mình rất hài_lòng ?,5,tích cực,môi mình cực_kì khô toàn bong mình sử_dụng son_tiki mà môi trở_nê mềm_mại hơn không bị khô và bong nữa mình rất hài_lòng ?,môi mình cực_kì khô toàn bong mình sử_dụng so@@ n_t@@ iki mà môi trở_@@ nê mềm_mại hơn không bị khô và bong nữa mình rất hài_lòng ?
"Dùng khá tốt, sơn thoa trên môi rất mượt","dùng khá tốt , sơn_thoa trên môi rất mượt",5,tích cực,"dùng khá tốt , sơn_thoa trên môi rất mượt","dùng khá tốt , sơ@@ n_tho@@ a trên môi rất mượt"
"sản phẩm đóng gói cẩn thận, giao hàng nhanh, giá tốt hơn mua ở siêu thị, cám ơn tiki","sản_phẩm đóng_gói cẩn_thận , giao hàng nhanh , giá tốt hơn mua ở siêu_thị , cám_ơn tiki",5,tích cực,"sản_phẩm đóng_gói cẩn_thận , giao hàng nhanh , giá tốt hơn mua ở siêu_thị , cám_ơn tiki","sản_phẩm đóng_gói cẩn_thận , giao hàng nhanh , giá tốt hơn mua ở siêu_thị , cám_ơn ti@@ ki"
"Son dưỡng hầu như không có màu, tạm được.......................","son_dưỡng hầu_như không có màu , tạm được .",4,tích cực,"son_dưỡng hầu_như không có màu , tạm được .","son_@@ dưỡng hầu_như không có màu , tạm được ."
Hhhhhhhhhhhh,giờ,4,tích cực,giờ,giờ
xài cực kì oke luôn. son không có mùi nên rất dễ chịu,dùng cực_kì oke luôn . son không có mùi nên rất dễ_chịu,5,tích cực,dùng cực_kì oke luôn . son không có mùi nên rất dễ_chịu,dùng cực_kì o@@ ke luôn . son không có mùi nên rất dễ_chịu
"Tôi đã dùng nhiều loại son đắt tiền rồi nhưng hay bị khô môi hoắc mẩn đỏ, nay dùng son này thấy môi rất mềm, màu hồng tự nhiên rất đẹp , từ nay sẽ thường xuyên sử dụng","tôi đã dùng nhiều loại son đắt tiền rồi nhưng hay bị khô môi hoắc mẩn đỏ , nay dùng son này thấy môi rất mềm , màu hồng tự_nhiên rất đẹp , từ nay sẽ thường_xuyên sử_dụng",5,tích cực,"tôi đã dùng nhiều loại son đắt tiền rồi nhưng hay bị khô môi hoắc mẩn đỏ , nay dùng son này thấy môi rất mềm , màu hồng_tự_nhiên rất đẹp , từ nay sẽ thường_xuyên sử_dụng","tôi đã dùng nhiều loại son đắt tiền rồi nhưng hay bị khô môi hoắc mẩn đỏ , nay dùng son này thấy môi rất mềm , màu hồng tự_nhiên rất đẹp , từ nay sẽ thường_xuyên sử_dụng"
đẹp càng lâu càng lên màu,đẹp càng lâu càng lên màu,5,tích cực,đẹp càng lâu càng lên màu,đẹp càng lâu càng lên màu
thoa lên môi là có màu liền nhưng k thấy hiệu quả... thâm vẫn còn,thoa lên môi là có màu liền nhưng không thấy hiệu_quả . thâm vẫn còn,3,trung lập,thoa lên môi là có màu liền nhưng không thấy hiệu_quả . thâm vẫn còn,thoa lên môi là có màu liền nhưng không thấy hiệu_quả . thâm vẫn còn
"Son dưỡng lên màu tự nhiên Son tự nhiên, ko gây bóng nhờn, màu lên đẹp vừa ý","son_dưỡng lên màu tự_nhiên_son tự_nhiên , không gây bóng_nhờn , màu lên đẹp vừa ý",5,tích cực,"son_dưỡng lên màu tự_nhiên_son tự_nhiên , không gây bóng_nhờn , màu lên đẹp vừa ý","son_@@ dưỡng lên màu tự_nh@@ iên_@@ son tự_nhiên , không gây bóng_@@ nhờn , màu lên đẹp vừa ý"
Màu son dep mùa cung ko nên mua,màu son_dep mùa cung không nên mua,5,tích cực,màu son_dep mùa cung không nên mua,màu son_@@ dep mùa cung không nên mua
"son môi tốt, đẹp, giao hàng nhanh. Đánh lên nhìn tự nhiên mọi người nên mua","son môi tốt , đẹp , giao hàng nhanh . đánh lên nhìn tự_nhiên mọi người nên mua",5,tích cực,"son môi tốt , đẹp , giao hàng nhanh . đánh lên nhìn tự_nhiên mọi người nên mua","son môi tốt , đẹp , giao hàng nhanh . đánh lên nhìn tự_nhiên mọi người nên mua"
Giao hàng rat cân thận. Cho shop 5 sao,giao hàng rat cân thận . cho shop 5 sao,5,tích cực,giao hàng rat cân thận . cho shop 5 sao,giao hàng rat cân thận . cho shop 5 sao
RẤT hài lòng ưng ý lắm mềm môi,rất hài_lòng ưng_ý lắm mềm môi,5,tích cực,rất hài_lòng_ưng_ý lắm mềm môi,rất hài_lòng ưng_ý lắm mềm môi
"Mình mua 1 cây son thôi nhưng cũng được đựng trong hộp, nhìn rất thích","mình mua 1 cây son_thôi nhưng cũng được đựng trong hộp , nhìn rất thích",5,tích cực,"mình mua 1 cây son_thôi nhưng cũng được đựng trong hộp , nhìn rất thích","mình mua 1 cây so@@ n_th@@ ôi nhưng cũng được đựng trong hộp , nhìn rất thích"
"Nhìn chung thiết kế đẹp mắt, hương thơm dịu nhẹ, son lên có màu hồng nhẹ.","nhìn_chung thiết_kế đẹp_mắt , hương_thơm dịu nhẹ , son lên có màu hồng nhẹ .",4,tích cực,"nhìn_chung thiết_kế đẹp_mắt , hương_thơm dịu nhẹ , son lên có màu hồng nhẹ .","nhìn_chung thiết_kế đẹp_mắt , hương_th@@ ơm dịu nhẹ , son lên có màu hồng nhẹ ."
đánh lên môi rất xinh ạ hương thơm dễ chịu,đánh lên môi rất xinh_ạ hương_thơm dễ_chịu,5,tích cực,đánh lên môi rất xinh_ạ hương_thơm dễ_chịu,đánh lên môi rất xinh_@@ ạ hương_th@@ ơm dễ_chịu
"Son dưỡng lên màu rất đẹp và dưỡng mềm môi, giúp tránh bị khô môi, mình rất thích Lipice","son_dưỡng lên màu rất đẹp và dưỡng_mềm môi , giúp tránh bị khô môi , mình rất thích lipice",5,tích cực,"son_dưỡng lên màu rất đẹp và dưỡng_mềm môi , giúp tránh bị khô môi , mình rất thích lipice","son_@@ dưỡng lên màu rất đẹp và dưỡng_@@ mềm môi , giúp tránh bị khô môi , mình rất thích lip@@ ice"
Sản phẩm tôi nhận được có mùi rất thơm,sản_phẩm tôi nhận được có mùi rất thơm,5,tích cực,sản_phẩm tôi nhận được có mùi rất thơm,sản_phẩm tôi nhận được có mùi rất thơm
Cũng dc ??????????‍♀️???????????,cũng được ? ?,3,trung lập,cũng được ? ?,cũng được ? ?
"sp tốt, giao hàng khá nhanh ạ","sp tốt , giao hàng khá nhanh ạ",5,tích cực,"sp tốt , giao hàng khá nhanh ạ","sp tốt , giao hàng khá nhanh ạ"
"son lên màu rất tự nhiên, không thấy có mùi gì cả. Dưỡng ẩm tốt, thoa lên cả ngày mà không thấy bị khô môi. dùng vài ngày khi tẩy sạch thì thấy môi hồng lên chút ít.","son lên màu rất tự_nhiên , không thấy có mùi gì cả . dưỡng ẩm_tốt , thoa lên cả ngày mà không thấy bị khô môi . dùng vài ngày khi tẩy sạch thì thấy môi hồng lên chút_ít .",5,tích cực,"son lên màu rất tự_nhiên , không thấy có mùi gì cả . dưỡng_ẩm_tốt , thoa lên cả ngày mà không thấy bị khô môi . dùng vài ngày khi tẩy sạch thì thấy môi hồng lên chút_ít .","son lên màu rất tự_nhiên , không thấy có mùi gì cả . dưỡng ẩ@@ m_t@@ ốt , thoa lên cả ngày mà không thấy bị khô môi . dùng vài ngày khi tẩy sạch thì thấy môi hồng lên chút_ít ."
"sản phẩm rất ưng ý ,tiki giao hàng nhanh đóng gói cẩn thận","sản_phẩm rất ưng_ý , tiki giao hàng nhanh đóng_gói cẩn_thận",5,tích cực,"sản_phẩm rất ưng_ý , tiki giao hàng nhanh đóng_gói cẩn_thận","sản_phẩm rất ưng_ý , ti@@ ki giao hàng nhanh đóng_gói cẩn_thận"
"son mềm, không khô môi, màu tự nhiên.","son_mềm , không khô môi , màu tự_nhiên .",5,tích cực,"son_mềm , không khô môi , màu tự_nhiên .","son_@@ mềm , không khô môi , màu tự_nhiên ."
Dưỡng nhưng không ẩm cho lắm,dưỡng nhưng không ẩm cho lắm,4,tích cực,dưỡng nhưng không ẩm cho lắm,dưỡng nhưng không ẩm cho lắm
"sản phẩm tốt, lên màu đẹp, giao hàng nhanh","sản_phẩm tốt , lên màu đẹp , giao hàng nhanh",5,tích cực,"sản_phẩm tốt , lên màu đẹp , giao hàng nhanh","sản_phẩm tốt , lên màu đẹp , giao hàng nhanh"
"Son dưỡng có màu nhẹ nhàng, tự nhiên. Thơm mùi dâu","son_dưỡng có màu nhẹ_nhàng , tự_nhiên . thơm mùi dâu",5,tích cực,"son_dưỡng có màu nhẹ_nhàng , tự_nhiên . thơm mùi dâu","son_@@ dưỡng có màu nhẹ_nhàng , tự_nhiên . thơm mùi dâu"
"Nếu bạn muốn dưỡng môi thì mua loại k màu k mùi,loại này vừa dưỡng vừa có màu,màu Hồng tự nhiên.thoa đi đâu môi Hồng tự nhiên nhưng nếu có ý mua một loại dưỡng chống thâm môi thì bạn hãy lựa chọn thương hiệu khác,cái này là son có lên màu Hồng nha.","nếu bạn muốn dưỡng_môi thì mua loại không màu không mùi , loại này vừa dưỡng vừa có màu , màu hồng tự_nhiên . thoa đi đâu môi_hồng tự_nhiên nhưng nếu có ý mua một loại dưỡng chống thâm_môi thì bạn hãy lựa_chọn thương_hiệu khác , cái này là son có lên màu hồng_nha .",3,trung lập,"nếu bạn muốn dưỡng_môi thì mua loại không màu không mùi , loại này vừa dưỡng vừa có màu , màu hồng_tự_nhiên . thoa đi đâu môi_hồng_tự_nhiên nhưng nếu có ý mua một loại dưỡng chống thâm_môi thì bạn hãy lựa_chọn thương_hiệu khác , cái này là son có lên màu hồng_nha .","nếu bạn muốn dưỡng_@@ môi thì mua loại không màu không mùi , loại này vừa dưỡng vừa có màu , màu hồng tự_nhiên . thoa đi đâu môi_@@ hồng tự_nhiên nhưng nếu có ý mua một loại dưỡng chống thâm_@@ môi thì bạn hãy lựa_chọn thương_hiệu khác , cái này là son có lên màu hồng_@@ nha ."
"giao hàng nhanh hơn dự kiến, mùi thơm dễ chịu","giao hàng nhanh hơn dự_kiến , mùi thơm dễ_chịu",4,tích cực,"giao hàng nhanh hơn dự_kiến , mùi thơm dễ_chịu","giao hàng nhanh hơn dự_kiến , mùi thơm dễ_chịu"
"It is the product of LipIce, and the commodities are the original. The quality of the products is very good, and the price is reasonable. Very good!","it is the product of_lipice , and_the commodities are the original . the quality of_the products is very good , and_the price is reasonable . very good !",5,tích cực,"it is the product of_lipice , and_the commodities are the original . the quality of_the products is very good , and_the price is reasonable . very good !","it is the produc@@ t of@@ _l@@ ip@@ ice , and@@ _th@@ e com@@ mo@@ di@@ ties are the ori@@ gi@@ nal . the qu@@ ality of@@ _th@@ e produc@@ ts is very good , and@@ _th@@ e pri@@ ce is re@@ as@@ on@@ able . very good !"
