text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword,source
Đúng với mô tả:ok Màu sắc:ok Chất liệu:ok Hàng đẹp. Đáng tiền mua. Giao hàng nhanh. Đáng mua. Sẽ ủng hộ tiếp,đúng với mô_tả ok màu_sắc ok chất_lượng liệu ok hàng đẹp . đáng tiền mua . giao hàng nhanh . đáng mua . sẽ ủng_hộ tiếp,5,tích cực,đúng với mô_tả ok màu_sắc ok chất_lượng_liệu ok hàng đẹp . đáng tiền mua . giao hàng nhanh . đáng mua . sẽ ủng_hộ tiếp,đúng với mô_tả ok màu_sắc ok chất_lượng liệu ok hàng đẹp . đáng tiền mua . giao hàng nhanh . đáng mua . sẽ ủng_hộ tiếp,all_good_reviews
"Hương vị tự nhiên thơm ngon, Sữa chua ngon và lành mạnh, Tăng cường hệ miễn dịch và tăng cường tiêu hóa,","hương_vị tự_nhiên thơm ngon , sữa chua_ngon và lành_mạnh , tăng_cường hệ miễn_dịch và tăng_cường tiêu_hóa ,",5,tích cực,"hương_vị tự_nhiên thơm ngon , sữa chua_ngon và lành_mạnh , tăng_cường_hệ miễn_dịch và tăng_cường_tiêu_hóa ,","hương_vị tự_nhiên thơm ngon , sữa chua_@@ ngon và lành_mạnh , tăng_cường hệ miễn_dịch và tăng_cường tiêu_h@@ ó@@ a ,",all_reviews
Tạm Em đi and là đc r HT the quê of the men say chiều mưa ☔️ của phất,tạm em đi and là được rồi ht the quê of_the men say chiều mưa của phất,3,trung lập,tạm em đi and là được rồi ht the quê of_the men say chiều mưa của phất,tạm em đi and là được rồi h@@ t the quê of@@ _th@@ e men say chiều mưa của phất,all_bad_reviews
"Đừg nhầm lẫn giữa "" bik điều "" và "" dễ dãi "" 🙃 Người bik điều co' ranh giơi' - kẻ dễ dãi thì ko... - Sự tôn trọng thực sự ko phải từ của sự tử tê' vô điều kiện, mà là kêt' qả xư'g đa'g cho những người dam' say NO khi cần thiêt'...!!!! 😏 - #Bitch #nastywoman 👹","đừg nhầm_lẫn giữa biết_điều và dễ_dãi người biết_điều co_ranh giơi_kẻ dễ_dãi thì không . sự tôn_trọng thực_sự không phải từ của sự tử_tê vô_điều_kiện , mà là kêt qả xư g đa_g cho những người dam say_no khi cần thiêt . ! bitch nastywoman",5,tích cực,"đừg nhầm_lẫn giữa biết_điều và dễ_dãi người biết_điều co_ranh giơi_kẻ dễ_dãi thì không . sự tôn_trọng_thực_sự không phải từ của sự tử_tê_vô_điều_kiện , mà là kêt qả xư g đa_g cho những người dam_say_no khi cần thiêt . ! bitch nastywoman","đ@@ ừ@@ g nhầm_lẫn giữa biết_điều và dễ_dãi người biết_điều co_@@ ranh gi@@ ơi_@@ kẻ dễ_dãi thì không . sự tôn_trọng thực_sự không phải từ của sự tử@@ _tê vô_điều_kiện , mà là kê@@ t q@@ ả x@@ ư g đa_@@ g cho những người dam say_@@ no khi cần thiê@@ t . ! bit@@ ch nas@@ ty@@ wom@@ an",all_good_reviews
"Trong quy hoạch tỉnh Bắc Ninh thời kỳ 2021-2030, tầm nhìn đến năm 2050, tỉnh Bắc Ninh sẽ có thêm 2 thành phố là Tiên Du và Yên Phong, ngoài 2 thành phố hiện có là Bắc Ninh và Từ Sơn. Đến năm 2030, tỉnh Bắc Ninh cũng được định hướng sẽ trở thành thành phố trực thuộc Trung ương. Cụ","trong quy_hoạch tỉnh bắc_ninh thời_kỳ 2021 2030 , tầm nhìn đến năm 2050 , tỉnh bắc_ninh sẽ có thêm 2 thành_phố là tiên_du và yên_phong , ngoài 2 thành_phố hiện có là bắc_ninh và từ sơn . đến năm 2030 , tỉnh bắc_ninh cũng được định_hướng sẽ trở_thành thành_phố trực_thuộc trung_ương . cụ",3,trung lập,"trong quy_hoạch tỉnh bắc_ninh thời_kỳ 2021 2030 , tầm nhìn đến năm 2050 , tỉnh bắc_ninh sẽ có thêm 2 thành_phố là tiên_du và yên_phong , ngoài 2 thành_phố hiện có là bắc_ninh và từ sơn . đến năm 2030 , tỉnh bắc_ninh cũng được định_hướng sẽ trở_thành thành_phố trực_thuộc trung_ương . cụ","trong quy_hoạch tỉnh bắc_@@ ninh thời_kỳ 2021 2030 , tầm nhìn đến năm 2050 , tỉnh bắc_@@ ninh sẽ có thêm 2 thành_phố là tiên_@@ du và yên_@@ phong , ngoài 2 thành_phố hiện có là bắc_@@ ninh và từ sơn . đến năm 2030 , tỉnh bắc_@@ ninh cũng được định_hướng sẽ trở_thành thành_phố trực_thuộc trung_ương . cụ",all_bad_reviews
Áo k đẹp chất thô nóng vải mỏng mình mua áo đen trắng thì trắng có vẻ đẹp hơn,áo không đẹp chất_lượng thô nóng vải mỏng mình mua áo đen trắng thì trắng có_vẻ đẹp hơn,4,tích cực,áo không đẹp chất_lượng thô nóng vải mỏng mình mua áo đen trắng thì trắng có_vẻ đẹp hơn,áo không đẹp chất_lượng thô nóng vải mỏng mình mua áo đen trắng thì trắng có_vẻ đẹp hơn,all_good_reviews
"Tính năng nổi bật:oon Tai nghe ổn, âm lượng to thì hoàn toàn k nghe được bên ngoài","tính_năng nổi_bật oon_tai nghe ổn , âm_lượng to thì hoàn_toàn không nghe được bên ngoài",5,tích cực,"tính_năng nổi_bật oon_tai nghe ổn , âm_lượng to thì hoàn_toàn không nghe được bên ngoài","tính_năng nổi_bật oo@@ n_t@@ ai nghe ổn , âm_lượng to thì hoàn_toàn không nghe được bên ngoài",all_good_reviews
Sản phẩm tốt Nên ủng hộ cho shop Nhaaaaaaaaaaaaaaaaaassaaaaaaaaaaaaa,sản_phẩm tốt nên ủng_hộ cho shop nhassa,5,tích cực,sản_phẩm tốt nên ủng_hộ cho shop nhassa,sản_phẩm tốt nên ủng_hộ cho shop nh@@ as@@ sa,all_good_reviews
"Đa năng và dễ tạo kiểu, Phù hợp cho nhiều dịp khác nhau, Vừa vặn và đúng kích cỡ.,","đa_năng và dễ tạo kiểu , phù_hợp cho nhiều dịp khác nhau , vừa vặn và đúng kích_cỡ . ,",5,tích cực,"đa_năng và dễ tạo kiểu , phù_hợp cho nhiều dịp khác nhau , vừa vặn và đúng kích_cỡ . ,","đa_năng và dễ tạo kiểu , phù_hợp cho nhiều dịp khác nhau , vừa vặn và đúng kích_cỡ . ,",all_reviews
Ao giong hình vãi dày chưa mặc nên chua lên from đc. Mua hàng o shop nhiều lần rồi nên an tâm không sợ ạ,ao giong hình_vãi dày chưa mặc nên chua lên from được . mua hàng o_shop nhiều lần rồi nên an_tâm không sợ ạ,5,tích cực,ao giong hình_vãi dày chưa mặc nên chua lên from được . mua hàng o_shop nhiều lần rồi nên an_tâm không sợ ạ,ao gi@@ ong hình_@@ vãi dày chưa mặc nên chua lên from được . mua hàng o_@@ shop nhiều lần rồi nên an_tâm không sợ ạ,all_good_reviews
"Chất liệu thoải mái và mềm mại,","chất_lượng liệu thoải_mái và mềm_mại ,",5,tích cực,"chất_lượng_liệu thoải_mái và mềm_mại ,","chất_lượng liệu thoải_mái và mềm_mại ,",all_reviews
"Hàng bễ, nhắn tin không rep","hàng bễ , nhắn_tin không phản_hồi",1,tiêu cực,"hàng bễ , nhắn_tin không phản_hồi","hàng b@@ ễ , nhắn_tin không phản_hồi",all_bad_reviews
Tính năng nổi bật:oke Chất lượng sản phẩm:oke Giao nhanh sau sẽ ủng hộ shop tiếp nhá nhá nhá nhá ánh nha n,tính_năng nổi_bật oke chất_lượng lượng sản_phẩm oke giao nhanh sau sẽ ủng_hộ shop tiếp_nhá nhá nhá nhá ánh nha n,5,tích cực,tính_năng nổi_bật oke chất_lượng_lượng sản_phẩm oke giao nhanh sau sẽ ủng_hộ shop tiếp_nhá nhá nhá nhá ánh nha n,tính_năng nổi_bật o@@ ke chất_lượng lượng sản_phẩm o@@ ke giao nhanh sau sẽ ủng_hộ shop tiếp_@@ nhá nhá nhá nhá ánh nha n,all_good_reviews
Màu sắc:rất đẹp Đúng với mô tả:rất đúng Chất liệu:tốt Giao hàng về bên trong bị bẩn,màu_sắc rất đẹp đúng với mô_tả rất đúng chất_lượng liệu tốt giao hàng về bên trong bị bẩn,3,tích cực,màu_sắc rất đẹp đúng với mô_tả rất đúng chất_lượng_liệu tốt giao hàng về bên trong bị bẩn,màu_sắc rất đẹp đúng với mô_tả rất đúng chất_lượng liệu tốt giao hàng về bên trong bị bẩn,all_bad_reviews
"Đúng như mô tả, đúng hình ảnh của shop đã quảng cáo cho sản phẩm này","đúng như mô_tả , đúng hình_ảnh của shop đã quảng_cáo cho sản_phẩm này",5,tích cực,"đúng như mô_tả , đúng hình_ảnh của shop đã quảng_cáo cho sản_phẩm này","đúng như mô_tả , đúng hình_ảnh của shop đã quảng_cáo cho sản_phẩm này",all_good_reviews
Chất liệu:dán Đúng với mô tả:hơi hơi Màu sắc:xanh Ban đầu mình cứ tưởng màu đen xong ra thì nó màu xanh. Ko bt tại sao mà mình ngủ sáng dậy thì nó bị lem có hình còn ko lên màu rõ,chất_lượng liệu dán đúng với mô_tả hơi hơi màu_sắc xanh ban_đầu mình cứ tưởng màu đen xong ra thì nó màu xanh . không biết tại_sao mà mình ngủ sáng dậy thì nó bị lem có hình còn không lên màu rõ,3,trung lập,chất_lượng_liệu dán đúng với mô_tả hơi hơi màu_sắc xanh ban_đầu mình cứ tưởng màu đen xong ra thì nó màu xanh . không biết tại_sao mà mình ngủ sáng dậy thì nó bị lem có hình còn không lên màu rõ,chất_lượng liệu dán đúng với mô_tả hơi hơi màu_sắc xanh ban_đầu mình cứ tưởng màu đen xong ra thì nó màu xanh . không biết tại_sao mà mình ngủ sáng dậy thì nó bị lem có hình còn không lên màu rõ,all_bad_reviews
"da nhan duoc hang tam on,minh cao 1m6 nang 58k zise 29 ong rong va dai lung thi vua, ai cao 1m65 tro len chac vua, minh dat zise nho hon thi lung k vua","da nhan_duoc hang tam_on , minh cao 1 m6_nang 58 k zise 29 ong rong va_dai lung_thi vua , ai cao 1 m65 tro len_chac vua , minh_dat zise nho_hon thi_lung không vua",5,tích cực,"da nhan_duoc hang tam_on , minh cao 1 m6_nang 58 k zise 29 ong rong va_dai lung_thi vua , ai cao 1 m65 tro len_chac vua , minh_dat zise nho_hon thi_lung không vua","da nhan_@@ du@@ oc hang tam_@@ on , minh cao 1 m@@ 6@@ _@@ nang 58 k z@@ ise 29 ong rong va_@@ dai lu@@ ng_th@@ i vua , ai cao 1 m@@ 65 tro len_@@ ch@@ ac vua , minh_@@ da@@ t z@@ ise nho_@@ hon thi_@@ lung không vua",all_reviews
"Mua nhiều lần, nhưng lần này mua không có hộp, không có lời giải thích? Nhưng chất lượng vẫn ok, nghe tốt, tai nghe chắc chắn, đẹp","mua nhiều lần , nhưng lần này mua không có hộp , không có lời giải_thích ? nhưng chất_lượng lượng vẫn ok , nghe tốt , tai nghe chắc_chắn , đẹp",3,tích cực,"mua nhiều lần , nhưng lần này mua không có hộp , không có lời giải_thích ? nhưng chất_lượng_lượng vẫn ok , nghe tốt , tai nghe chắc_chắn , đẹp","mua nhiều lần , nhưng lần này mua không có hộp , không có lời giải_thích ? nhưng chất_lượng lượng vẫn ok , nghe tốt , tai nghe chắc_chắn , đẹp",all_bad_reviews
Chất liệu:ko dễ bị tróc hết phí tiền,chất_lượng liệu không dễ bị tróc hết phí tiền,1,tiêu cực,chất_lượng_liệu không dễ bị tróc hết phí tiền,chất_lượng liệu không dễ bị tróc hết phí tiền,all_bad_reviews
Mua đi mọi người ơi.Giấy dai xài rất thích.Tính ra 280 tờ xài rất lợi lại tiện dụng.Mình dùng lau tay khi ướt khá ổn luôn nha,mua đi mọi người ơi . giấy dai_dùng rất thích . tính ra 280 tờ dùng rất lợi lại tiện_dụng . mình dùng lau tay khi ướt khá ổn luôn nha,5,tích cực,mua đi mọi người ơi . giấy dai_dùng rất thích . tính ra 280 tờ dùng rất lợi lại tiện_dụng . mình dùng lau tay khi ướt khá ổn luôn nha,mua đi mọi người ơi . giấy da@@ i_d@@ ùng rất thích . tính ra 280 tờ dùng rất lợi lại tiện_dụng . mình dùng lau tay khi ướt khá ổn luôn nha,all_reviews
"Chất liệu:ni cao Màu sắc:xám tiêu Đúng với mô tả:đúng nhaa Chất áo dày dặn, nỉ cáo mịn, giá cả hợp lí","chất_lượng liệu ni cao màu_sắc xám tiêu đúng với mô_tả đúng nhaa chất_lượng áo dày_dặn , nỉ_cáo mịn , giá_cả hợp_lí",5,tích cực,"chất_lượng_liệu ni cao_màu_sắc xám_tiêu đúng với mô_tả đúng nhaa chất_lượng áo dày_dặn , nỉ_cáo mịn , giá_cả hợp_lí","chất_lượng liệu ni cao màu_sắc xám tiêu đúng với mô_tả đúng nh@@ aa chất_lượng áo dày_dặn , n@@ ỉ_@@ cáo mịn , giá_cả hợp_lí",all_good_reviews
Khung không đối xứng,khung không đối_xứng,3,trung lập,khung không đối_xứng,khung không đối_xứng,all_bad_reviews
Hàng tạm ổn. Mặc lên tạm được chứ không ưng hoàn toàn. Chất liệu dễ bị rút sợi,hàng tạm ổn . mặc lên tạm được chứ không ưng hoàn_toàn . chất_lượng liệu dễ bị rút sợi,3,tích cực,hàng tạm ổn . mặc lên tạm được chứ không ưng hoàn_toàn . chất_lượng_liệu dễ bị rút sợi,hàng tạm ổn . mặc lên tạm được chứ không ưng hoàn_toàn . chất_lượng liệu dễ bị rút sợi,all_bad_reviews
"Chất liệu:ddungs Đúng với mô tả:đúng Màu sắc:đúng Ngày 19.7, tạp chí thời trang GQ Korea công bố bộ ảnh họa báo và trang bìa cho ấn phẩm tháng 8.2024, với người mẫu là nam ca sĩ, diễn viên Hàn Quốc Cha Eun Woo.","chất_lượng liệu ddungs đúng với mô_tả đúng màu_sắc đúng ngày 19.7 , tạp_chí thời_trang gq korea công_bố bộ ảnh họa báo và trang_bìa cho ấn_phẩm tháng 8.2024 , với người_mẫu là nam ca_sĩ , diễn_viên hàn_quốc cha eun_woo .",5,tích cực,"chất_lượng_liệu ddungs đúng với mô_tả đúng màu_sắc đúng ngày 19.7 , tạp_chí thời_trang gq korea công_bố bộ ảnh họa báo và trang_bìa cho ấn_phẩm tháng 8.2024 , với người_mẫu là nam_ca_sĩ , diễn_viên hàn_quốc cha eun_woo .","chất_lượng liệu d@@ du@@ ngs đúng với mô_tả đúng màu_sắc đúng ngày 19.7 , tạp_chí thời_trang g@@ q kor@@ ea công_bố bộ ảnh họ@@ a báo và trang_@@ bìa cho ấn_phẩm tháng 8.@@ 2024 , với người_mẫu là nam ca_sĩ , diễn_viên hàn_@@ quốc cha eu@@ n_@@ woo .",all_good_reviews
Hàng chính hãng tốt.,hàng chính hãng tốt .,5,tích cực,hàng chính hãng tốt .,hàng chính hãng tốt .,all_reviews
Sáu cục 80.000 khá là rẻ sale ngày 12 tháng 12 để dành xài đã mua nhiều lần,sáu cục 80.000 khá là rẻ sale ngày 12 tháng 12 để_dành dùng đã mua nhiều lần,5,tích cực,sáu cục 80.000 khá là rẻ sale ngày 12 tháng 12 để_dành dùng đã mua nhiều lần,sáu cục 80.000 khá là rẻ sale ngày 12 tháng 12 để_dành dùng đã mua nhiều lần,all_reviews
Đổi size shop ko rep,đổi kích_cỡ shop không phản_hồi,1,tiêu cực,đổi kích_cỡ_shop không phản_hồi,đổi kích_cỡ shop không phản_hồi,all_bad_reviews
"Shop bán hàng quá kém chất lượng, gẩy gọng kính","shop bán hàng quá kém chất_lượng lượng , gẩy gọng kính",1,tiêu cực,"shop bán hàng quá kém chất_lượng_lượng , gẩy gọng kính","shop bán hàng quá kém chất_lượng lượng , g@@ ẩy gọng kính",all_bad_reviews
"giao thiếu, không giải quyết cho khách hàng, 1 sao.","giao thiếu , không giải_quyết cho khách_hàng , 1 sao .",1,tiêu cực,"giao thiếu , không giải_quyết cho khách_hàng , 1 sao .","giao thiếu , không giải_quyết cho khách_hàng , 1 sao .",all_bad_reviews
Ốp mới mà bị ntn 🥲 Shop đã ck lại 50% cho mình để xử lý sự cố này👍,ốp mới mà bị ntn_shop đã ck lại 50 cho mình để xử_lý sự_cố này tốt,3,tích cực,ốp mới mà bị ntn_shop đã ck lại 50 cho mình để xử_lý sự_cố này tốt,ốp mới mà bị n@@ t@@ n_s@@ hop đã ck lại 50 cho mình để xử_lý sự_cố này tốt,all_bad_reviews
Âm thanh:tốt Giảm tiếng ồn:ổn Chất lượng:ổn giao hàng nhanh tầm hai đến ba ngày là nhận được hàng rồi nhé,âm_thanh tốt giảm tiếng ồn_ổn chất_lượng lượng ổn giao hàng nhanh tầm hai đến ba ngày là nhận được hàng rồi nhé,5,tích cực,âm_thanh tốt giảm tiếng ồn_ổn chất_lượng_lượng ổn giao hàng nhanh tầm hai đến ba ngày là nhận được hàng rồi nhé,âm_thanh tốt giảm tiếng ồn_@@ ổn chất_lượng lượng ổn giao hàng nhanh tầm hai đến ba ngày là nhận được hàng rồi nhé,all_good_reviews
Đỉnh cực kì!!!,đỉnh cực_kì !,5,tích cực,đỉnh cực_kì !,đỉnh cực_kì !,all_reviews
Âm thanh:rõ ràng Giảm tiếng ồn:giảm tiếng ồn,âm_thanh rõ_ràng giảm tiếng ồn_giảm tiếng ồn,5,tích cực,âm_thanh rõ_ràng giảm tiếng ồn_giảm tiếng ồn,âm_thanh rõ_ràng giảm tiếng ồn_@@ giảm tiếng ồn,all_good_reviews
"Bao bì tiện lợi, Cảm giác mềm mại và sang trọng, Kích thước gói tiện lợi, Khăn giấy chất lượng cao. Mua đc giá tốt. Giấy tốt, mình đã mua nhiều lần.","bao_bì tiện_lợi , cảm_giác mềm_mại và sang_trọng , kích_thước gói tiện_lợi , khăn giấy chất_lượng lượng cao . mua được giá tốt . giấy tốt , mình đã mua nhiều lần .",5,tích cực,"bao_bì tiện_lợi , cảm_giác mềm_mại và sang_trọng , kích_thước gói tiện_lợi , khăn giấy chất_lượng_lượng cao . mua được giá tốt . giấy tốt , mình đã mua nhiều lần .","bao_bì tiện_lợi , cảm_giác mềm_mại và sang_trọng , kích_thước gói tiện_lợi , khăn giấy chất_lượng lượng cao . mua được giá tốt . giấy tốt , mình đã mua nhiều lần .",all_reviews
Chất liệu:mới mua về bị gãy luôn ạ,chất_lượng liệu mới mua về bị gãy luôn ạ,1,tiêu cực,chất_lượng_liệu mới mua về bị gãy luôn ạ,chất_lượng liệu mới mua về bị gãy luôn ạ,all_bad_reviews
"Nhiều màu sắc để lựa chọn, Hoàn hảo cho trang phục thường ngày, Phù hợp cho nhiều dịp khác nhau,","nhiều màu_sắc để lựa_chọn , hoàn_hảo cho trang_phục thường_ngày , phù_hợp cho nhiều dịp khác nhau ,",5,tích cực,"nhiều màu_sắc để lựa_chọn , hoàn_hảo cho trang_phục thường_ngày , phù_hợp cho nhiều dịp khác nhau ,","nhiều màu_sắc để lựa_chọn , hoàn_hảo cho trang_phục thường_ngày , phù_hợp cho nhiều dịp khác nhau ,",all_reviews
Giao sai size,giao sai_kích_cỡ,1,tiêu cực,giao sai_kích_cỡ,giao sai_@@ kích_cỡ,all_bad_reviews
"Áo ôm form body đẹo nha mn. Đặc biệt mấy bạn mà có tập gym mặc vào tôn dáng, vải mỏng, cotton k đc mềm mại nhưng giá đó là ok.","áo ôm form body đẹo_nha mọi người . đặc_biệt mấy bạn mà có tập gym mặc vào tôn_dáng , vải mỏng , cotton không được mềm_mại nhưng giá đó là ok .",5,tích cực,"áo ôm form body đẹo_nha mọi người . đặc_biệt mấy bạn mà có tập gym mặc vào tôn_dáng , vải mỏng , cotton không được mềm_mại nhưng giá đó là ok .","áo ôm form body đẹ@@ o_@@ nha mọi người . đặc_biệt mấy bạn mà có tập gym mặc vào tôn_@@ dáng , vải mỏng , cotton không được mềm_mại nhưng giá đó là ok .",all_reviews
"Tai nghe to rõ ok. Lúc đầu hơi ko biết xài tưởng hư hjhj. Đóng gói kỹ, giao hàng nhanh. Nghe dc 3 ngày rồi mới sạc lại","tai nghe to rõ ok . lúc đầu hơi không biết dùng tưởng hư_hjhj . đóng_gói kỹ , giao hàng nhanh . nghe được 3 ngày rồi mới sạc lại",5,tích cực,"tai nghe to rõ ok . lúc đầu hơi không biết dùng tưởng hư_hjhj . đóng_gói kỹ , giao hàng nhanh . nghe được 3 ngày rồi mới sạc lại","tai nghe to rõ ok . lúc đầu hơi không biết dùng tưởng hư_h@@ j@@ h@@ j . đóng_gói kỹ , giao hàng nhanh . nghe được 3 ngày rồi mới sạc lại",all_good_reviews
Màu sắc:đen Đúng với mô tả:đúng Chất liệu:da hàg khi về rất ok nm mới cầm cái chỗ xách cặp lên thì lại bị đứt nên hơi tiêc,màu_sắc đen đúng với mô_tả đúng chất_lượng liệu da_hàg khi về rất ok_nm mới cầm cái chỗ xách cặp lên thì lại bị đứt nên hơi tiêc,3,tiêu cực,màu_sắc đen đúng với mô_tả đúng chất_lượng_liệu da_hàg khi về rất ok_nm mới cầm cái chỗ xách cặp lên thì lại bị đứt nên hơi tiêc,màu_sắc đen đúng với mô_tả đúng chất_lượng liệu da_@@ hà@@ g khi về rất o@@ k_@@ nm mới cầm cái chỗ xách cặp lên thì lại bị đứt nên hơi tiê@@ c,all_bad_reviews
Có dell đâu mà ăn như cc,có dell đâu mà ăn như cc,1,tiêu cực,có dell đâu mà ăn như cc,có d@@ ell đâu mà ăn như cc,all_bad_reviews
Nhầm ốp,nhầm ốp,1,tiêu cực,nhầm ốp,nhầm ốp,all_bad_reviews
"Áo đúng với ảnh, còn có mùi thơm nữa, 10đ nha giao hàng cũng nhanh","áo đúng với ảnh , còn có mùi thơm nữa , 10 đ nha giao hàng cũng nhanh",5,tích cực,"áo đúng với ảnh , còn có mùi thơm nữa , 10 đ nha giao hàng cũng nhanh","áo đúng với ảnh , còn có mùi thơm nữa , 10 đ nha giao hàng cũng nhanh",all_good_reviews
Áo mỏngn thoát. Mặc 1 ngày đã bủng chỉ,áo mỏngn thoát . mặc 1 ngày đã bủng chỉ,1,tiêu cực,áo mỏngn thoát . mặc 1 ngày đã bủng chỉ,áo mỏ@@ ng@@ n thoát . mặc 1 ngày đã b@@ ủng chỉ,all_bad_reviews
Giao hàng chị cháy moẹ bóng cho ngta chứ Shop làm ăn kiểu gì thế,giao hàng chị cháy moẹ bóng cho ngta chứ shop làm_ăn kiểu gì thế,1,tiêu cực,giao hàng chị cháy moẹ bóng cho ngta chứ shop làm_ăn kiểu gì thế,giao hàng chị cháy mo@@ ẹ bóng cho ng@@ ta chứ shop làm_ăn kiểu gì thế,all_bad_reviews
